ID,Name,Surname,PhoneNumber,email
1,Anton,Petrenko,79971306087,Kovalenko@gmail.com
2,Anna,Mironenko,79700953019,Sidorenko@mail.ru
3,Igor,Kovalenko,79547241389,Sidorenko@mail.ru
4,Vasilisa,Mironenko,79898381390,Shapiro@mail.ru
5,Olga,Shagal,79343292644,Shapiro@yandex.ru
6,Igor,Sidorenko,79902237096,Sidorenko@gmail.com
7,Ivan,Petrenko,79765199307,Mironenko@yandex.ru
8,Anna,Kovalenko,79495677522,Shagal@gmail.com
9,Anna,Duma,79868971904,Duma@mail.ru
10,Anton,Duma,79116893008,Kovalenko@mail.ru
11,Svetlana,Petrenko,79327024398,Petrenko@gmail.com
12,Anna,Moroz,79150933436,Kovalenko@yandex.ru
13,Anna,Shagal,79718424637,Mironenko@yandex.ru
14,Viktor,Sidorenko,79646059400,Moroz@gmail.com
15,Inna,Moroz,79806585681,Shagal@mail.ru
16,Alex,Kovalenko,79623135116,Moroz@mail.ru
17,Anna,Shagal,79948715075,Mironenko@mail.ru
18,Viktor,Sidorenko,79654336457,Sidorenko@mail.ru
19,Inna,Kovalenko,79076489455,Duma@gmail.com
20,Vasilisa,Moroz,79649654765,Duma@gmail.com
21,Igor,Sidorenko,79383117980,Moroz@gmail.com
22,Vasilisa,Kovalenko,79252037646,Moroz@gmail.com
23,Anna,Mironenko,79173406403,Moroz@gmail.com
24,Ivan,Shagal,79119802967,Shapiro@yandex.ru
25,Olga,Shapiro,79737210103,Kovalenko@mail.ru
26,Alex,Duma,79998906071,Kovalenko@mail.ru
27,Svetlana,Kovalenko,79685194328,Moroz@gmail.com
28,Ivan,Moroz,79819458162,Shagal@mail.ru
29,Igor,Kovalenko,79396577472,Mironenko@yandex.ru
30,Viktor,Kovalenko,79585080968,Moroz@mail.ru
